DJC_ID_DIM_SUJETO,DJC_ID_DIM_PERIODO_CUOTA,DJC_ROL,BI_CBA,BI_IVA,DJC_M_BASE_IMPONIBLE_CBA,DJC_M_IMPUESTO_DETERMINADO,DJC_M_PERCEPCIONES,DJC_M_PERCEPCIONES_ADUANERAS,DJC_M_RECAUDACIONES,DJC_M_RETENCIONES,DJC_M_SALDO_A_PAGAR_DDJJ,DJC_M_SALDO_FAVOR_CONTRIBUYENTE,DJC_M_TOTAL_INGRESOS_NO_GRAV,Delta_BI,I02_COMPRAS_NETAS_VENTAS_NETAS,DJA_COD_ACTIVIDAD_463111,DJA_COD_ACTIVIDAD_463112,DJA_COD_ACTIVIDAD_463121,DJA_COD_ACTIVIDAD_463129,DJA_COD_ACTIVIDAD_463140,DJA_COD_ACTIVIDAD_463151,DJA_COD_ACTIVIDAD_463153,DJA_COD_ACTIVIDAD_463154,DJA_COD_ACTIVIDAD_463159,DJA_COD_ACTIVIDAD_463160,DJA_COD_ACTIVIDAD_463170,DJA_COD_ACTIVIDAD_463180,DJA_COD_ACTIVIDAD_463191,DJA_COD_ACTIVIDAD_463199,DJA_COD_ACTIVIDAD_463211,DJA_COD_ACTIVIDAD_463219,DJA_COD_ACTIVIDAD_463220,DJA_COD_ACTIVIDAD_471110,DJA_COD_ACTIVIDAD_471120,DJA_COD_ACTIVIDAD_471130,DJA_COD_ACTIVIDAD_471191,DJA_COD_ACTIVIDAD_471900,DJA_COD_ACTIVIDAD_472111,DJA_COD_ACTIVIDAD_472112,DJA_COD_ACTIVIDAD_472120,DJA_COD_ACTIVIDAD_472130,DJA_COD_ACTIVIDAD_472140,DJA_COD_ACTIVIDAD_472150,DJA_COD_ACTIVIDAD_472160,DJA_COD_ACTIVIDAD_472171,DJA_COD_ACTIVIDAD_472172,DJA_COD_ACTIVIDAD_472190,DJA_COD_ACTIVIDAD_472200,DJA_COD_ACTIVIDAD_478010,DJA_TRATAMIENTO_CALCULADO_,DJA_TRATAMIENTO_CALCULADO_0,DJA_TRATAMIENTO_CALCULADO_1,DJA_TRATAMIENTO_CALCULADO_2,DJA_TRATAMIENTO_CALCULADO_3,DJA_TRATAMIENTO_CALCULADO_4,DJA_TRATAMIENTO_CALCULADO_5,DJA_TRATAMIENTO_CALCULADO_6,DJA_TRATAMIENTO_CALCULADO_8,DJA_TRATAMIENTO_DISQUETTE_,DJA_TRATAMIENTO_DISQUETTE_1,DJA_TRATAMIENTO_DISQUETTE_2,DJA_TRATAMIENTO_DISQUETTE_3,DJA_TRATAMIENTO_DISQUETTE_4,DJA_TRATAMIENTO_DISQUETTE_5,DJA_TRATAMIENTO_DISQUETTE_6,DJA_TRATAMIENTO_DISQUETTE_8,5_Cl,5_Cl_Dis,10_Cl,10_Cl_Dis,20_Cl,20_Cl_Dis
14398730,2021001012,IB,2865671.59,0.821244836,0.719008923,0.780955017,0.489662915,-0.006457551,0.834863067,-0.257004887,0.329538286,-0.24928984,6.667404175,-0.501310408,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,22.2789917,8,46.16999054,6,8.640773773
14562395,2019006012,IB,57839.82,-0.352445781,-0.353297919,-0.28572458,-0.260959327,-0.006457551,-0.169027194,-0.257004887,0.255781025,-0.270756483,-0.088516451,0.01045322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.764471531,9,0.154714108,3,0.11292696
14633179,2019006012,IB,198925,-0.298878312,-0.299417704,-0.235463873,-0.134877577,-0.006457551,-0.169027194,-0.257004887,0.247005254,-0.270756483,-0.088516451,0.01045322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.845496655,6,0.71562624,13,0.101299286
14657284,2020007012,IB,319542.73,-0.253082007,-0.253353953,-0.222542524,-0.039062809,-0.006457551,-0.095657542,-0.257004887,-0.498856336,0.477659136,0.669880152,0.01045322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.313739777,6,2.203698158,1,1.305667877
14706696,2021001012,IB,1146419.57,0.060854614,0.062429093,-0.025810864,0.119854517,-0.006457551,-0.169027194,0.229548037,0.221798554,-0.270756483,2.626417398,0.010516455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.540342331,8,7.800031662,6,4.028085709
14706696,2021009012,IB,1407590.28,0.160029635,0.162169814,0.231683046,0.346084803,-0.006457551,-0.169027194,0.780577958,-0.094928369,0.057952229,3.24379468,0.010453184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11.35139847,8,10.50981331,6,2.387969971
14782288,2020012012,IB,1744052.18,0.28777802,0.290664107,0.358431011,0.161468863,-0.006457551,-0.169027194,-0.229102686,-0.401730388,0.61374861,4.027650356,0.01045322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,17.12688255,8,15.82907104,6,1.608768463
1479363,2020008012,IB,2961041.27,-0.298299253,0.75543046,0.816881597,-0.159122229,-0.006457551,1.37662518,-0.179702774,0.41046086,-0.270756483,-0.088516451,4.995210171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30.164711,1,28.96638107,8,14.05052185
1479363,2021002012,IB,4323416.44,-0.040145464,1.275719523,1.330100179,-0.226942614,-0.006457551,1.891404867,-0.180673465,0.55744946,-0.270756483,-0.088516451,6.227505684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,47.787117,1,47.21078873,8,10.38421631
1479363,2021008012,IB,2646675.38,-0.347504407,0.635374606,0.698457241,-0.259251595,-0.006457551,1.511125803,-0.07318335,0.341714591,-0.270756483,-0.088516451,4.661573887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26.92969131,1,25.72321701,8,16.71775818
